Geschlechtsschluessel,ArbAnteil,PersNr,TrfGr,ND Organisations Merkmal,Führungsebene,Teilzeitgrundschluessel,Ab- oder Anwesenheitsart
männlich,100,10311,A13,1. QE,,,
weiblich,100,10312,E12,2. QE,,,
männlich,100,10313,E10,3. QE,,,
weiblich,100,10314,A11,3. QE,,,
weiblich,100,10315,E6,4. QE,,,
weiblich,100,10316,E5,3. QE,,,
männlich,100,10317,E4,2. QE,3.0,,
männlich,100,10318,E10,1. QE,1.0,,Elternzeit
männlich,100,10319,A14,4. QE,,,
weiblich,30,10320,E5,3. QE,1.0,Antragsteilzeit,Elternzeit
männlich,100,10321,E9B,1. QE,,,
männlich,100,10322,E5,4. QE,1.0,,
männlich,100,10323,ANG F,3. QE,,,
weiblich,100,10324,A4,1. QE,,,
männlich,100,10325,A12,2. QE,1.0,,
weiblich,100,10326,E9A,1. QE,1.0,,
weiblich,100,10327,BES F,4. QE,2.0,,Elternzeit
männlich,100,10328,A16,4. QE,1.0,,
weiblich,30,10329,ANG F,3. QE,,Antragsteilzeit,
weiblich,40,10330,E15,3. QE,1.0,Familienpolitische Teilzeit,
männlich,100,10331,E10,1. QE,,,
weiblich,100,10332,A12,1. QE,,,
männlich,70,10333,E8,1. QE,,Vertragliche Teilzeit,
weiblich,100,10334,E8,2. QE,3.0,,
weiblich,50,10335,A9,3. QE,,Familienpolitische Teilzeit,
weiblich,20,10336,ANG F,1. QE,,Altersteilzeit,
männlich,60,10337,A9+AZ,3. QE,2.0,Altersteilzeit,
weiblich,90,10338,E9B,3. QE,2.0,Antragsteilzeit,
männlich,100,10339,E9B,2. QE,,,
weiblich,80,10340,E4,4. QE,1.0,Vertragliche Teilzeit,
weiblich,100,10341,E6,2. QE,,,
weiblich,100,10342,R1,4. QE,,,
männlich,100,10343,A13,2. QE,2.0,,
weiblich,90,10344,E15,3. QE,2.0,Antragsteilzeit,
weiblich,100,10345,E13,1. QE,,,
weiblich,100,10346,E4,2. QE,2.0,,
weiblich,90,10347,E12,4. QE,,Altersteilzeit,
männlich,100,10348,E10,3. QE,1.0,,
weiblich,60,10349,A4,2. QE,,Vertragliche Teilzeit,Elternzeit
männlich,100,10350,E13,2. QE,,,
weiblich,20,10351,A13,2. QE,2.0,Antragsteilzeit,
weiblich,100,10352,E5,4. QE,1.0,,
weiblich,30,10353,E12,3. QE,,Antragsteilzeit,
männlich,100,10354,E4,4. QE,1.0,,Elternzeit
weiblich,100,10355,A15,4. QE,3.0,,
männlich,100,10356,ANG F,2. QE,1.0,,
männlich,100,10357,ANG F,1. QE,1.0,,
weiblich,90,10358,A15,1. QE,,Familienpolitische Teilzeit,
männlich,100,10359,A8,2. QE,,,
männlich,100,10360,A11,1. QE,,,
weiblich,100,10361,A7,3. QE,1.0,,
männlich,30,10362,B3,3. QE,,Familienpolitische Teilzeit,Elternzeit
männlich,100,10363,E13,3. QE,,,
weiblich,100,10364,E13,2. QE,,,Elternzeit
weiblich,100,10365,E10,2. QE,,,
weiblich,20,10366,E10,1. QE,,Antragsteilzeit,
männlich,100,10367,A7,3. QE,,,Elternzeit
weiblich,60,10368,A9,1. QE,,Antragsteilzeit,
weiblich,100,10369,A12,4. QE,,,
weiblich,100,10370,A16,1. QE,,,
weiblich,100,10371,A13,2. QE,,,
weiblich,100,10372,A4,2. QE,3.0,,
weiblich,70,10373,A9+AZ,3. QE,,Antragsteilzeit,
männlich,100,10374,A13,4. QE,,,
weiblich,100,10375,A9+AZ,3. QE,1.0,,
weiblich,100,10376,E11,2. QE,,,
männlich,100,10377,R2,1. QE,,,
weiblich,100,10378,E6,4. QE,,,
weiblich,80,10379,A15,3. QE,,Familienpolitische Teilzeit,
männlich,100,10380,A11,4. QE,,,
weiblich,30,10381,A16,2. QE,,Altersteilzeit,
weiblich,70,10382,A9+AZ,4. QE,,Altersteilzeit,
männlich,100,10383,A6,3. QE,,,
weiblich,60,10384,E13,3. QE,,Antragsteilzeit,
weiblich,90,10385,A9,4. QE,,Antragsteilzeit,
weiblich,90,10386,A8,3. QE,3.0,Vertragliche Teilzeit,
weiblich,100,10387,E8,2. QE,,,
weiblich,30,10388,E4,2. QE,,Antragsteilzeit,
männlich,70,10389,E14,3. QE,,Antragsteilzeit,
weiblich,100,10390,R2,4. QE,,,
männlich,100,10391,E14,4. QE,3.0,,
männlich,100,10392,A9+AZ,1. QE,3.0,,
männlich,100,10393,A6,2. QE,3.0,,
weiblich,20,10394,E6,3. QE,,Altersteilzeit,
weiblich,100,10395,E14,1. QE,3.0,,
weiblich,60,10396,A11,1. QE,,Familienpolitische Teilzeit,
männlich,100,10397,ANG F,4. QE,,,
männlich,100,10398,E7,3. QE,2.0,,
männlich,100,10399,E14,4. QE,3.0,,
männlich,100,10400,A14,2. QE,,,
weiblich,70,10401,E5,2. QE,,Familienpolitische Teilzeit,Elternzeit
männlich,100,10402,A6,1. QE,2.0,,
männlich,100,10403,A8,2. QE,,,
weiblich,70,10404,A9+AZ,3. QE,,Antragsteilzeit,Elternzeit
weiblich,100,10405,A11,3. QE,,,
männlich,100,10406,A13,2. QE,,,
männlich,100,10407,A7,4. QE,2.0,,
weiblich,100,10408,E8,1. QE,,,
weiblich,40,10409,A14,4. QE,,Antragsteilzeit,
männlich,100,10410,A9,3. QE,,,
weiblich,100,10411,A6,3. QE,,,
weiblich,60,10412,A12,3. QE,,Antragsteilzeit,
weiblich,100,10413,A16,2. QE,,,
weiblich,90,10414,E12,1. QE,,Altersteilzeit,
weiblich,60,10415,E11,1. QE,2.0,Familienpolitische Teilzeit,
weiblich,100,10416,E8,2. QE,,,
männlich,20,10417,E4,2. QE,,Antragsteilzeit,
männlich,100,10418,E8,1. QE,3.0,,
männlich,100,10419,E7,1. QE,,,
weiblich,90,10420,E2,4. QE,,Altersteilzeit,
weiblich,30,10421,A4,4. QE,3.0,Antragsteilzeit,
männlich,100,10422,B3,2. QE,2.0,,
männlich,100,10423,E13,1. QE,,,
männlich,100,10424,E2,4. QE,2.0,,
männlich,100,10425,A8,3. QE,,,
männlich,50,10426,E12,3. QE,,Vertragliche Teilzeit,
männlich,100,10427,A9,2. QE,3.0,,
männlich,100,10428,E6,4. QE,,,Elternzeit
männlich,100,10429,A9+AZ,2. QE,,,
männlich,100,10430,A8,3. QE,,,
weiblich,80,10431,E4,1. QE,2.0,Familienpolitische Teilzeit,
männlich,100,10432,A11,2. QE,,,
männlich,100,10433,A12,2. QE,,,
weiblich,100,10434,E9B,4. QE,,,
weiblich,100,10435,E13,1. QE,1.0,,Elternzeit
weiblich,100,10436,A13,1. QE,3.0,,
weiblich,100,10437,A9+AZ,2. QE,,,
männlich,100,10438,E2,2. QE,1.0,,
männlich,100,10439,A11,3. QE,2.0,,
weiblich,100,10440,A10,2. QE,3.0,,
männlich,100,10441,E9A,1. QE,,,
weiblich,90,10442,E11,1. QE,2.0,Antragsteilzeit,
männlich,100,10443,E9A,2. QE,,,
männlich,50,10444,E5,4. QE,,Vertragliche Teilzeit,
männlich,100,10445,A14,2. QE,,,
männlich,100,10446,PGRP,2. QE,3.0,,
männlich,100,10447,E15,1. QE,,,
männlich,100,10448,E8,1. QE,,,
männlich,100,10449,E6,4. QE,2.0,,
männlich,100,10450,E15,4. QE,,,
weiblich,100,10451,E9B,4. QE,,,
männlich,100,10452,R1,3. QE,,,Elternzeit
weiblich,80,10453,E5,4. QE,,Vertragliche Teilzeit,Elternzeit
weiblich,100,10454,E13,3. QE,,,
männlich,30,10455,B9,4. QE,2.0,Altersteilzeit,
weiblich,100,10456,A15,3. QE,,,
weiblich,100,10457,E5,2. QE,,,
männlich,100,10458,E13,1. QE,,,
männlich,100,10459,A12,3. QE,3.0,,
weiblich,40,10460,E4,1. QE,3.0,Vertragliche Teilzeit,
weiblich,30,10461,A11,4. QE,1.0,Antragsteilzeit,
weiblich,50,10462,A16,3. QE,2.0,Familienpolitische Teilzeit,
weiblich,60,10463,A7,3. QE,2.0,Antragsteilzeit,
weiblich,100,10464,A9,2. QE,,,
weiblich,50,10465,E4,1. QE,,Vertragliche Teilzeit,
männlich,100,10466,E12,4. QE,,,
männlich,40,10467,A4,3. QE,,Vertragliche Teilzeit,
männlich,100,10468,E8,2. QE,,,
weiblich,40,10469,A11,4. QE,2.0,Vertragliche Teilzeit,
weiblich,100,10470,A7,2. QE,,,
männlich,100,10471,PGR4UE,4. QE,1.0,,
weiblich,100,10472,A12,4. QE,,,
männlich,100,10473,A11,3. QE,3.0,,
weiblich,50,10474,E5,4. QE,,Antragsteilzeit,
männlich,20,10475,E14,2. QE,1.0,Antragsteilzeit,
weiblich,70,10476,A9+AZ,1. QE,3.0,Vertragliche Teilzeit,
männlich,100,10477,B9,1. QE,,,
männlich,100,10478,A14,1. QE,,,
weiblich,100,10479,R1,3. QE,,,
männlich,100,10480,E12,2. QE,,,
weiblich,100,10481,A9,1. QE,,,
weiblich,100,10482,A4,4. QE,,,
männlich,100,10483,A11,1. QE,,,
männlich,100,10484,E10,3. QE,,,
männlich,100,10485,A9+AZ,1. QE,,,
weiblich,100,10486,E13,1. QE,,,
männlich,100,10487,E15,3. QE,1.0,,
weiblich,100,10488,E11,3. QE,3.0,,
männlich,100,10489,A7,4. QE,,,
männlich,100,10490,E5,2. QE,2.0,,
männlich,20,10491,E6,3. QE,,Altersteilzeit,
männlich,100,10492,E6,1. QE,,,
weiblich,20,10493,E14,1. QE,,Antragsteilzeit,
männlich,30,10494,A11,2. QE,,Vertragliche Teilzeit,
männlich,100,10495,A9+AZ,1. QE,3.0,,Elternzeit
männlich,100,10496,A13,2. QE,3.0,,
männlich,100,10497,E6,2. QE,1.0,,
männlich,100,10498,A7,3. QE,,,
männlich,100,10499,E15,1. QE,,,
weiblich,100,10500,A10,3. QE,,,
